name	output
France	[4.030912288786384,-0.9852704260236085,1.9530738277068305]
France	[1.9498125729448585,0.06582088200882238,-2.3362099669415564]
Japan	[4.0382119766742015,-0.9862660526484752,1.9631873305406993]
USA	[-2.8663031957489595,3.3609590310001187,1.5047018822110059]
USA	[1.9544877733971344,0.09737899862061944,-2.551281074564901]
Brazil	[4.054040846261645,-1.1401842466755683,1.8444745382291954]
USA	[1.919599866653464,0.06738643237428253,-2.274975954906501]
France	[1.9191147020949373,0.06638388905052332,-2.2740955351310346]
USA	[4.068863645942624,-1.1473531224679285,1.8713556173354058]
New_Zealand	[4.0367650192271185,-0.9874730997581317,1.9640550538034443]
USA	[-2.8097935651778907,3.1543130143186677,1.3859993277184652]
USA	[-3.8375322775522616,-2.807945213932564,0.6368840236276696]
USA	[-2.8748208277252094,3.3701687957630697,1.5014516437680467]
Japan	[4.047128220452531,-0.9890105149027005,1.9757749868030463]
Paraguay	[4.038968778147871,-1.13267903776462,1.8265417147999983]
Mexico	[4.038027967279363,-0.8351140156020281,2.113018653805995]
France	[1.9191147020949373,0.06638388905052332,-2.2740955351310346]
USA	[-4.318165871657966,-3.053029626037938,0.8622965225993442]
Mexico	[3.419957971994587,-0.8436484056496134,0.16634014523676674]
Brazil	[3.9819568601934856,-0.9600460475544129,1.918936206839895]
USA	[4.070030663882046,-1.1467380672856498,1.8640457768518015]
USA	[-4.3085305551502024,-2.8789589142511818,0.8881927958937761]
USA	[3.975213955011584,-1.293291908024358,1.877268643556698]
Japan	[-2.8474016206441797,3.2676500271560074,1.2430259491638014]
USA	[-2.889171971226375,3.399959344901895,1.5023222727444363]
USA	[-2.785567917665967,3.0515416330271434,1.34781402071812]
USA	[-2.9183452473576708,3.062009494399435,1.4197747769706706]
France	[3.9299097352098724,-1.0959200291665552,1.6725940603460858]
Japan	[4.037802380538209,-0.9848391411970847,1.9637545859004277]
Brazil	[4.08738559267357,-1.0021640218378314,2.060283961016946]
USA	[4.064128190543235,-1.1457607177100895,1.8679088226449734]
USA	[-2.8247695149921195,3.208079129880206,1.3900270043059468]
USA	[1.937658041571453,0.07698365112774234,-2.4049698910177435]
USA	[1.93127449347479,0.06272716532326147,-2.5118083976557064]
USA	[-3.5313791923093025,-2.5590815669320066,0.5448212729266045]
Brazil	[4.037570271694778,-0.8373158286086004,2.1148039003629893]
Japan	[-2.8535197877676843,3.2699371860481024,1.4454711883484026]
USA	[1.9260642961945806,0.06766827061727648,-2.3133515384734173]
USA	[-3.7069558521059913,-2.832422969579468,0.5626586685878566]
Mexico	[4.039427889016291,-0.986261397025308,1.9618427249775017]
USA	[1.3014293207926941,0.11116822120693681,-1.600346768200289]
USA	[-4.318654192032299,-3.0528833607978054,0.8625831040884693]
USA	[1.9494858833512523,0.09462939810578706,-2.512045061506904]
USA	[-2.8907389732842175,3.401899841047211,1.5010890802560906]
USA	[1.954211111884069,0.09062070373954588,-2.5082010419185394]
USA	[-2.876871227397506,3.349255445569416,1.4788599906351017]
USA	[-3.8755185096957634,-2.8720317156791935,0.6365673316063608]
USA	[-3.846229272080446,-2.822285408488382,0.6383929394117197]
USA	[-2.827739705941494,3.2050609847538665,1.4103817927587052]
Japan	[-2.8531122284098966,3.268500350840197,1.4448680259272626]
Bahrain	[-4.277532488169771,-2.7594234886826423,0.6772160179460356]
France	[4.056628240393834,-1.1444483858538472,1.85455215521916]
USA	[-2.877143967435548,3.3530939242861115,1.4800925922290205]
France	[1.8213030765466796,0.11643535417042464,-2.5129229080058706]
USA	[-2.8101144160573197,3.1470603506393977,1.386007611109197]
Bahrain	[-2.742556319406782,3.3292893918465603,1.402487390406395]
USA	[-4.262231361192834,-3.0396398801631923,0.820193403285856]
USA	[-2.872915911150931,3.3615535000538554,1.496827887391023]
Japan	[-3.836764734333552,-2.8057807229285814,0.6353290737119873]
USA	[1.9172668674641629,0.06539514272106596,-2.255496773931916]
USA	[1.6490283628312836,0.2588022171811274,-2.045010203128154]
Thailand	[1.9178126619607827,0.06580908172065182,-2.259619354426083]
Brazil	[0.9449158749067728,0.2370676036357208,-3.378182191910709]
USA	[-2.805595927518304,3.154102550097676,1.344391966375389]
USA	[-2.8828990266593935,3.3736801128985365,1.4889098680209383]
Bahrain	[-4.2751600554905655,-2.7559394062749836,0.6771932108817809]
Brazil	[1.0133909702998876,0.3609137529301592,-3.1857521716328123]
USA	[-4.273939423282221,-2.754187456203882,0.6770924891376138]
USA	[1.901951835666865,0.045515773346107465,-2.0798681241661763]
USA	[-2.8772175443827863,3.352509273437614,1.480485703593422]
France	[1.9191147020949373,0.06638388905052332,-2.2740955351310346]
USA	[1.9544692626177422,0.0960975537393771,-2.531557411643652]
France	[4.0574456769958065,-1.143882735683866,1.8482009717333219]
Japan	[-2.8534393878079887,3.2741819498806826,1.4464552072345012]
China	[4.024707853455651,-0.9844346035644608,1.944363897162901]
USA	[-2.8903261056630596,3.40041235684649,1.5004458989124982]
USA	[-2.8465874204983135,3.246480562245745,1.4338239704814553]
USA	[-2.8911519587067382,3.403388467956885,1.5017331885142973]
Japan	[-2.8828990266593935,3.3736801128985365,1.4889098680209378]
France	[1.9191147020949373,0.06638388905052332,-2.2740955351310346]
Mexico	[4.006450196578769,-0.8279087774211262,2.0578314103982907]
USA	[-2.8045785078607124,3.1537008800613,1.3436775128228666]
USA	[4.063617121423189,-1.145167224352995,1.8628836768878982]
USA	[-2.8730811205121656,3.3602782083686296,1.4952132011151624]
Japan	[-3.8823392838543436,-2.9038320133780533,0.6358167454784998]
Pakistan	[-3.8956856963308524,-2.9052387256488896,0.6304215478330416]
Brazil	[1.0349181020117801,0.3797253506853152,-3.3727986320402814]
USA	[1.9520510736016945,0.0959816915764553,-2.526794445179346]
USA	[-3.8308018009048266,-2.8090509043628953,0.6471539812793975]
USA	[1.92101532818769,0.06762093312086027,-2.284806918348987]
USA	[-4.318654192032299,-3.0528833607978054,0.8625831040884693]
USA	[4.068926708757136,-1.146496353410547,1.8692539161027075]
USA	[4.069987931663045,-1.1501499746031179,1.8752605979222499]
Mexico	[3.439808303677181,-0.8577997144353684,0.2085210062287889]
France	[1.918906830385898,0.0666397900088491,-2.2679163765563524]
USA	[-3.8846458433135385,-2.8870158691150856,0.6394186376901474]
Djibouti	[-4.233503823964896,-2.692182814061997,0.6676063867702633]
USA	[4.042797112898577,-0.989399911433238,1.9712934277548604]
USA	[-2.7838652146941514,3.0496216129503586,1.3451597588639317]
USA	[4.0356866837153405,-0.836556965395808,2.112360617825598]
USA	[-2.8734914697404097,3.3617497176423945,1.495852154568347]
South_Africa	[4.03922146389961,-1.1280120200860362,1.7773857573525438]
Bahrain	[-4.276168980046067,-2.755465423125075,0.6777756859936923]
Japan	[-3.897061234004947,-2.9048858262113932,0.6390200452832838]
USA	[-2.8279286721141816,3.2088584203622563,1.41134007021239]
USA	[1.3896624994031295,0.1764256420698117,-2.2768299171995006]
USA	[-2.8775517166103177,3.354535235121556,1.4806964668466702]
USA	[-4.261014590347032,-3.037670909904314,0.8198871151401734]
USA	[-2.8907389732842175,3.401899841047211,1.5010890802560906]
USA	[1.9183976350531684,0.06560410192810577,-2.2585731203421715]
USA	[4.066234467470012,-1.1330594396989997,1.8503340048728012]
Japan	[4.047704925469278,-0.9892083954707306,1.9767604294978873]
USA	[4.071858106242688,-1.1488196237098676,1.8770528883503375]
USA	[-3.9001736483721436,-2.91200716987252,0.640826798763222]
USA	[-2.8812085341081906,3.2534254003227914,1.3756338143277476]
Japan	[-4.261187732208304,-2.759163790740336,0.6719788614739335]
USA	[4.0598023266562935,-1.1422679002140481,1.859242148368013]
USA	[1.9478493833772101,0.09266925188325352,-2.4931425438572528]
USA	[4.059640706241532,-1.1425942476337219,1.8531519231031197]
USA	[-3.884505591226826,-2.889100334288913,0.6380228940286303]
USA	[-4.2751358649984255,-2.757123673914557,0.6781202447595747]
Japan	[4.04770255159104,-0.989207255486108,1.9767460494236941]
USA	[4.040707486212077,-0.9844019840464979,1.945373400484315]
France	[1.9175397257914044,0.06560203278325803,-2.2575565810121314]
Japan	[4.050174275898996,-0.9888183673870252,1.98213024181621]
USA	[-4.261437246616195,-3.039609633449638,0.8180440083310756]
USA	[-2.7230934040778294,3.049420012654101,1.460207944538134]
France	[1.8243020736230973,0.11878696826756649,-2.5279135158988693]
USA	[-4.318654192032299,-3.0528833607978054,0.8625831040884693]
USA	[-2.8903261056630596,3.40041235684649,1.5004458989124982]
USA	[-4.318992592771306,-3.0536544368712857,0.8604927213338254]
USA	[-4.211661380568833,-3.128727932530808,0.7668233785073384]
Thailand	[4.032853572853509,-0.9932630730363682,1.9605400807751043]
Brazil	[4.094173251762224,-1.0022149436239656,2.0749454824376286]
USA	[1.9172668674641629,0.06539514272106596,-2.255496773931916]
USA	[-2.889771863432679,3.4016200406432326,1.500521432018997]
Viet_Nam	[3.4266004596504063,-0.8523122660038396,0.21197433140779393]
USA	[-2.808547131020415,3.1416035569817162,1.3839201103449008]
Bahrain	[-2.903458384776961,2.537303853872032,1.2635079458182294]
Mexico	[4.0631758114872145,-1.1461004948251365,1.864038895688406]
USA	[-4.2742755001981685,-2.75485525260867,0.6750398650989098]
Mexico	[4.060821923029709,-1.1439395724737635,1.8594968640842182]
USA	[4.042140394537084,-0.8392079988037948,2.125185375101113]
USA	[-4.208845309477071,-3.122771435448937,0.7672213381507595]
USA	[-3.835394557596117,-2.803302201635206,0.6373507103500327]
Japan	[-2.8833108348668506,3.375157332974918,1.4895447428299176]
USA	[1.8714032414259816,-0.01702481711644037,-2.260939432420066]
Mexico	[3.4423300283371736,-0.8592973245197263,0.20481358575346684]
USA	[-2.8985804229876813,3.3888178158687774,1.5012949827150215]
USA	[-3.833967987658301,-2.8014662141248547,0.6348582155358841]
USA	[-3.8397313415959142,-2.8088006453538594,0.6380585731867748]
USA	[1.9217264967975476,0.06999648093044845,-2.288516470080012]
USA	[3.949631003137361,-1.1016639840706244,1.708066137591582]
