name	output
Mexico	[4.0345781155820015,-0.8343998086738414,2.106340892881785]
USA	[-2.8739019360347555,3.363222356918877,1.4964920281801242]
Brazil	[1.0350651602088226,0.38005313640907706,-3.3756665020118715]
USA	[4.048177130300177,-1.1389956326064972,1.837672548544583]
Brazil	[1.0347390162112953,0.3754812484412602,-3.3456486851431575]
USA	[-3.8835919944496857,-2.8851119855285243,0.6394000964797475]
USA	[4.047900755796441,-1.1776047172763133,1.8657822669513942]
Mexico	[3.417850930115106,-0.8497314610811811,0.21645994473172814]
USA	[1.9062095806786932,0.05078542949207084,-2.1076824926002207]
Mexico	[3.4400029454539305,-0.8576003921678996,0.20504534101082644]
USA	[-3.833113300376915,-2.796935731668308,0.6371184949154394]
USA	[-2.827526896107252,3.207464946449725,1.4107767240960147]
South_Africa	[1.393932007336302,0.1770215939121575,-2.303643937681593]
USA	[-4.274584129416808,-2.756138480220633,0.6781773479470208]
France	[1.8546418893754424,-0.07351001754555568,-2.330972359018395]
Mexico	[3.4503444725996553,-0.862038880577461,0.21391213911503432]
USA	[1.939801960425065,0.059739380850664145,-2.2624824023181827]
USA	[-2.8905444823747963,3.4061408130222515,1.502636619767268]
Bahrain	[-4.146767426746329,-2.7868094854906875,0.5983164106165397]
South_Africa	[4.034088603769136,-1.1329111965700083,1.8175921369318886]
USA	[4.039544940446139,-0.986201871488202,1.957706037893133]
Bahrain	[-4.145761345013438,-2.7852897485889274,0.600328821769958]
USA	[-3.884400482178808,-2.8869308384265087,0.6371732062480917]
USA	[-3.8451308328826137,-2.8204818372563882,0.6383480215183999]
USA	[-3.848902302796858,-2.830101998101459,0.6380018016735154]
Japan	[4.046551679913622,-0.9888127861746919,1.9747909612061234]
USA	[-3.8354520859449996,-2.803490626641404,0.6372911586134868]
Brazil	[4.03531696944901,-0.8319221968262228,2.1148527392914214]
USA	[-2.8903261056630596,3.40041235684649,1.5004458989124982]
USA	[2.065281485208863,0.0533374495403542,-2.3730618374190326]
Brazil	[4.092381389450448,-1.003813562287373,2.0656443075457966]
Taiwan	[-2.8903261056630596,3.40041235684649,1.5004458989124987]
USA	[4.068247560160702,-1.1471668676007174,1.870208261839873]
USA	[-3.7825066994234806,-2.7261937951620325,0.5798143496500741]
USA	[-4.318226042708526,-3.053805764655923,0.8671756296298332]
Bahrain	[-2.73971027152526,3.339546442924344,1.4065755559885458]
Brazil	[1.0356409987765953,0.38294705217099234,-3.38784991710671]
Japan	[-2.884959524878529,3.381082402728637,1.4920995098843663]
USA	[-4.209658601465784,-3.12511478574305,0.7639978890164272]
France	[1.8238346971036905,0.11762612101441003,-2.51804877110402]
Brazil	[1.0533733668295477,0.37618947766969757,-3.394750140638307]
USA	[-2.8894690507262304,3.401675065458257,1.4996400759275361]
Viet_Nam	[3.4266874018584903,-0.8523655638254999,0.21323426685174574]
USA	[-2.889913355792869,3.3989260140394664,1.4998036424841223]
USA	[4.024835698123057,-1.013505783697044,1.9745416216398637]
USA	[-4.2826414476663786,-2.77113735441982,0.6822504942683243]
Brazil	[4.039575069514831,-0.9862805673823495,1.9514362400875687]
Japan	[-4.276980158559151,-2.7585444704799715,0.6774914585600226]
USA	[4.06224458273994,-1.1322411313803855,1.8644183234672296]
USA	[-2.891565061981046,3.4048782388927883,1.502378225692286]
Mexico	[4.044819653365561,-0.9857701538288265,1.9558251179341655]
USA	[-2.8747232200221937,3.3661710306905133,1.4977745438416603]
USA	[1.9553664066654655,0.09841711930191048,-2.5410944903889976]
USA	[-3.880621659020543,-2.8807107609966924,0.6321919741965731]
USA	[-4.320905437572324,-3.054462640909488,0.8636671418449442]
Japan	[-4.282626608665669,-2.7710803470035112,0.6822389073434317]
USA	[4.060230388179189,-1.1436994113311876,1.8586105851455579]
USA	[-3.832604393624648,-2.7994756996147827,0.6328832166436451]
USA	[-3.8802096638719923,-2.879609171468113,0.6392333378748185]
USA	[-4.272934171872783,-2.7567865501512805,0.6719134927778287]
USA	[-2.8903261056630596,3.40041235684649,1.5004458989124982]
Japan	[-2.8540352018065387,3.278715520697235,1.445253242588057]
USA	[-4.324579090164771,-3.059635005213086,0.8641014710489228]
USA	[-2.848794924326617,3.251421694133454,1.4366355235266328]
USA	[-4.2870838566472,-3.0110719202026868,0.8623802480814484]
USA	[2.1473347363693494,-0.01646341057572248,-1.9797725470529437]
USA	[4.070752288521038,-1.1367752464545713,1.8214504791404293]
France	[3.9248734581827276,-1.1278672040534454,1.91460957798714]
Japan	[4.051097541301373,-0.9883587544018174,1.9782069024784923]
USA	[4.0294616021499,-0.9845988515848434,1.9477268384107946]
South_Africa	[3.412165727587607,-0.8494401552273212,0.22205515548228744]
USA	[-2.826445697325131,3.2048478874750472,1.4075367610454306]
Bahrain	[-4.0845024900375995,-2.6900573882936967,0.5946842452981724]
